#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                                                        | delivered(/nb) | recorded(/nb) |
| 400387:11387 | 12/06/25 19:59:23 | 1197 | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000313729    | 0.000295646   |
| 400391:11388 | 12/07/25 06:01:13 | 651  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000254949    | 0.000239309   |
| 400392:11388 | 12/07/25 10:15:41 | 3    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000371    | 0             |
| 400393:11388 | 12/07/25 10:19:36 | 7    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000845    | 0             |
| 400394:11388 | 12/07/25 10:24:09 | 5    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000593    | 0             |
| 400395:11388 | 12/07/25 10:29:59 | 13   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000001492    | 0.000001276   |
| 400396:11388 | 12/07/25 10:38:21 | 25   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000137    | 0.000000125   |
| 400397:11388 | 12/07/25 10:50:33 | 25   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000002595    | 0.000002210   |
| 400398:11388 | 12/07/25 11:03:31 | 63   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000005995    | 0.000005567   |
| 400399:11388 | 12/07/25 11:31:05 | 102  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000434    | 0.000000422   |
| 400401:11388 | 12/07/25 12:17:10 | 36   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000002770    | 0.000002579   |
| 400414:11389 | 12/07/25 15:07:25 | 783  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000274492    | 0.000257398   |
| 400419:11390 | 12/07/25 22:49:02 | 149  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000076665    | 0.000072275   |
| 400426:11391 | 12/08/25 02:27:57 | 171  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000102226    | 0.000095795   |
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
#Summary: 
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
| hltpath                                                        | nfill | nrun | ncms  | totdelivered(/nb) | totrecorded(/nb) |
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
| HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 43    | 94   | 31488 | 0.008912799       | 0.008242617      |
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 0.008912799
#Sum recorded : 0.008242617

Warning: problems found in merging -i and --normtag selections:
  in run 400201 [[33, 368]] is not a superset of [[35, 369]]
#Check JSON:
#(run,ls) in json but not in results: [(399489, 56)]
