#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                                                        | delivered(/nb) | recorded(/nb) |
| 400239:11365 | 12/01/25 15:08:15 | 287  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000052843    | 0.000047014   |
| 400243:11366 | 12/01/25 21:11:10 | 1230 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003930508    | 0.003738352   |
| 400295:11377 | 12/03/25 13:11:53 | 799  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.001564854    | 0.001483736   |
| 400323:11380 | 12/04/25 11:37:32 | 1134 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003114812    | 0.002976109   |
| 400332:11381 | 12/04/25 21:30:00 | 1187 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003464063    | 0.003310225   |
| 400339:11382 | 12/05/25 08:34:18 | 1081 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003168444    | 0.002993734   |
| 400353:11383 | 12/05/25 17:56:58 | 1209 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003288582    | 0.003129808   |
| 400356:11384 | 12/06/25 04:11:21 | 160  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000036329    | 0.000031923   |
| 400357:11384 | 12/06/25 05:17:17 | 688  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.002011651    | 0.001875826   |
| 400358:11384 | 12/06/25 09:48:08 | 6    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000023897    | 0.000000062   |
| 400359:11384 | 12/06/25 09:52:22 | 74   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000307524    | 0.000258601   |
| 400360:11384 | 12/06/25 10:22:51 | 6    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000025939    | 0.000000100   |
| 400361:11384 | 12/06/25 10:27:01 | 31   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000134377    | 0.000117238   |
| 400362:11384 | 12/06/25 10:40:46 | 5    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000021725    | 0.000000003   |
| 400363:11384 | 12/06/25 10:45:48 | 48   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000205403    | 0.000190131   |
| 400387:11387 | 12/06/25 19:59:23 | 1197 | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.003217164    | 0.003065846   |
| 400391:11388 | 12/07/25 06:01:13 | 651  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.001075110    | 0.001000901   |
| 400392:11388 | 12/07/25 10:15:41 | 3    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000010805    | 0             |
| 400393:11388 | 12/07/25 10:19:36 | 7    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000024621    | 0             |
| 400394:11388 | 12/07/25 10:24:09 | 5    | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000017277    | 0.000000003   |
| 400395:11388 | 12/07/25 10:29:59 | 13   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000041203    | 0.000035075   |
| 400397:11388 | 12/07/25 10:50:33 | 25   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000014903    | 0.000012695   |
| 400398:11388 | 12/07/25 11:03:31 | 63   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000234515    | 0.000217725   |
| 400401:11388 | 12/07/25 12:17:10 | 36   | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000145751    | 0.000135735   |
| 400414:11389 | 12/07/25 15:07:25 | 783  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.001175289    | 0.001107705   |
| 400419:11390 | 12/07/25 22:50:35 | 145  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000033450    | 0.000031467   |
| 400426:11391 | 12/08/25 02:30:40 | 164  | HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 0.000037790    | 0.000035387   |
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
#Summary: 
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
| hltpath                                                        | nfill | nrun | ncms  | totdelivered(/nb) | totrecorded(/nb) |
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
| HLT_HIUPC_ZDC1nOR_SinglePixelTrackLowPt_MaxPixelCluster400_v15 | 37    | 70   | 29339 | 0.063695274       | 0.060361091      |
+----------------------------------------------------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 0.063695274
#Sum recorded : 0.060361091

Warning: problems found in merging -i and --normtag selections:
  in run 400201 [[33, 368]] is not a superset of [[35, 369]]
#Check JSON:
#(run,ls) in json but not in results: [(399489, 56)]
